sat-epsilon,original-prediction,second-best-prediction
2.0331669485252686,"[8 1 1 7 5 4 8 2 7 2 6 4 4 2 1 8 3 1 5 3 3 6 8 9 3 0 5 4 6 9 5 3 8 7 3 6 4
 9 9 0 0 9 2 1 7 8 7 8 9 5]","[3 9 4 3 2 3 5 3 6 9 3 8 8 5 4 3 0 4 8 4 2 9 3 2 0 4 9 3 9 2 9 9 3 2 0 1 8
 3 5 3 2 6 7 3 3 3 2 3 3 9]"
2.0767933403475927,"[0 9 3 9 2 3 6 4 3 8 1 7 8 4 7 8 0 1 3 3 9 6 3 2 3 5 8 8 3 5 8 0 1 6 3 9 8
 2 9 9 3 9 3 4 3 3 0 5 4 6]","[2 3 9 3 9 4 9 3 9 3 3 6 3 3 2 3 2 9 0 9 2 9 0 0 9 2 3 5 9 8 3 9 4 0 0 2 3
 9 3 2 9 5 9 3 2 4 3 2 3 9]"
2.041317491724694,"[4 3 0 3 9 3 6 4 1 0 0 2 9 5 3 6 3 9 0 4 8 7 1 3 3 2 8 5 3 3 9 5 4 3 7 5 8
 9 0 0 1 7 6 8 2 4 9 8 9 6]","[5 0 9 2 3 9 9 8 3 2 2 3 3 9 9 1 9 3 4 3 3 3 4 4 0 3 3 9 2 2 6 9 3 2 2 9 4
 2 3 3 9 2 9 3 5 8 2 5 3 3]"
2.0825645769387893,"[3 8 3 3 5 9 4 9 2 0 3 2 3 1 8 4 0 9 2 2 9 2 8 1 5 3 3 3 9 9 2 8 3 2 3 9 9
 4 2 1 7 3 3 1 4 1 9 3 3 8]","[4 3 9 2 9 2 3 5 9 9 4 3 0 3 3 8 2 3 7 9 2 5 3 4 9 9 2 0 5 2 5 3 4 9 9 3 3
 8 3 4 9 2 9 4 3 4 6 9 9 4]"
2.0853952467179853,"[3 8 6 8 1 1 8 2 8 5 2 5 9 2 4 6 8 8 0 0 4 9 7 3 5 5 5 8 9 1 9 9 1 0 8 5 0
 7 9 8 3 1 9 4 4 7 3 3 4 2]","[0 3 9 3 4 3 5 0 4 8 9 9 3 5 8 9 3 3 2 3 8 6 3 9 2 9 9 3 3 4 3 2 9 5 3 9 4
 2 2 3 9 4 5 3 5 9 9 4 3 9]"
1.9888028133399727,"[5 4 3 3 4 3 2 7 7 9 5 7 7 2 2 8 3 3 3 2 1 4 1 1 1 1 3 9 0 1 4 0 9 8 6 9 7
 2 3 5 8 6 6 4 8 3 9 3 9 2]","[2 8 0 0 3 9 5 2 3 3 8 2 9 5 3 5 9 2 2 9 4 3 3 4 3 9 9 3 4 4 5 3 2 3 9 5 6
 7 4 9 4 9 0 3 3 4 2 9 3 3]"
2.0107489147609465,"[5 1 1 0 9 3 8 5 1 3 3 5 8 4 9 8 1 4 1 7 8 6 6 2 6 2 5 4 3 9 3 9 3 9 5 3 8
 9 9 8 2 1 7 5 1 2 7 9 3 0]","[2 3 4 5 3 9 3 9 4 9 9 9 3 5 2 3 4 3 9 3 3 9 9 5 9 7 9 3 2 3 9 3 2 2 9 2 3
 2 5 5 3 4 3 2 3 9 2 2 0 9]"
2.018952877510832,"[8 0 2 6 6 0 9 8 4 3 9 7 0 4 2 9 0 8 4 3 8 9 6 9 5 7 8 2 2 1 4 3 5 6 3 9 8
 2 4 7 3 2 3 5 0 1 8 8 1 7]","[3 9 7 9 9 2 6 4 8 9 2 3 5 5 9 3 4 5 3 9 3 5 0 5 2 2 3 9 9 4 8 9 9 1 0 3 3
 5 3 2 0 0 2 9 3 4 3 3 4 3]"
2.1167763286033634,"[4 9 6 7 0 0 3 8 2 3 9 1 3 9 4 5 6 3 1 8 5 2 6 0 1 8 4 3 0 2 1 7 3 4 9 1 2
 9 7 0 7 3 2 3 7 6 6 9 6 2]","[8 2 0 2 2 2 0 3 3 9 2 4 9 6 3 9 3 4 4 4 9 5 9 3 4 3 5 0 3 5 3 9 2 3 5 4 7
 3 2 9 3 9 3 0 2 9 1 2 9 0]"
1.9911614644190267,"[9 5 7 1 9 3 0 5 3 9 1 3 0 3 4 7 5 6 9 9 1 9 3 9 6 2 8 4 5 6 3 0 1 5 1 9 8
 9 7 7 1 4 9 7 3 2 2 9 6 2]","[2 2 9 4 2 2 3 8 9 3 3 9 2 9 5 3 2 9 5 2 4 3 9 2 1 9 3 8 9 9 9 2 9 9 4 6 3
 3 6 3 3 8 5 2 0 9 3 3 0 5]"
